Macro,Sector,Pearson_r,Pearson_p,Spearman_rho,Spearman_p
US_CPI,Nifty_FMCG_Return,-0.08817070165784871,0.24730377224320368,-0.09552566222115177,0.20989392864053327
US_CPI,Nifty_Metal_Return,0.09005355805945732,0.23731337613068898,0.15517780434170148,0.04089588716285873
US_CPI,Nifty_Realty_Return,0.027200897011438685,0.7216277135131879,0.07320835993352169,0.33704863652589656
US_CPI,Nifty_Energy_Return,0.017709257128435737,0.8165880392063075,0.04854930131725184,0.5246665102389623
US_CPI,Nifty_Infra_Return,0.07625589248493173,0.3172663948789571,0.1400862326712361,0.06523459506257333
US_CPI,Nifty_PSE_Return,0.12300899987500558,0.10586706130702093,0.13235365304325197,0.08169268146628256
US_CPI,Nifty_Media_Return,-0.09239094088931533,0.22530909425917717,-0.1280471449310988,0.09221604370410817
US_10Y_Yield,Nifty_50_Return,-0.05698457658842934,0.45514358340193123,-0.0664859477775563,0.3833974046420103
US_10Y_Yield,Nifty_Bank_Return,-0.029190116580844125,0.7022015701650953,-0.03866738802357698,0.6124558494511614
US_10Y_Yield,Nifty_IT_Return,-0.10883567133026677,0.15284811128816816,-0.0701944816196361,0.3573685519308607
US_10Y_Yield,Nifty_Pharma_Return,-0.05103596947970082,0.5036266693804028,-0.021701073492981005,0.7762364063681041
US_10Y_Yield,Nifty_Auto_Return,-0.014612112596252023,0.8482373330908416,-0.03292918363279136,0.6662124650777318
US_10Y_Yield,Nifty_FMCG_Return,-0.08222993612913812,0.28072276718250644,-0.05568609584555368,0.4654989077790712
US_10Y_Yield,Nifty_Metal_Return,-0.026786542018409867,0.7256971738041745,-0.028967795210569774,0.7043634228687079
US_10Y_Yield,Nifty_Realty_Return,-0.033903372534360356,0.6569554763232329,-0.047574247558301766,0.5330365956101155
US_10Y_Yield,Nifty_Energy_Return,-0.04868188389091517,0.5235335663313462,-0.04235086420456163,0.5789844614637524
US_10Y_Yield,Nifty_Infra_Return,0.007554967329989684,0.92118593281969,-0.008302058714655884,0.9134212364939529
US_10Y_Yield,Nifty_PSE_Return,0.0789198468878606,0.30060525639192626,0.03784276317662803,0.6200637527374072
US_10Y_Yield,Nifty_Media_Return,-0.11762431633012528,0.12216282631849967,-0.12449215524360034,0.10169286418067419
US_GDP,Nifty_50_Return,-0.022568760058734143,0.7675399429537076,-0.0052776039466506525,0.944898018712509
US_GDP,Nifty_Bank_Return,-0.02231710299725133,0.7700592653716211,-0.000655001569031756,0.9931559983166656
US_GDP,Nifty_IT_Return,-0.09412726847855013,0.21667443540332906,-0.06538624358682224,0.39133168260110734
US_GDP,Nifty_Pharma_Return,-0.021624843883567016,0.7770017721348577,-0.04727744368613037,0.5355976525657206
US_GDP,Nifty_Auto_Return,0.013050159974642195,0.8642945807023914,0.00801949747127576,0.9163570389972846
US_GDP,Nifty_FMCG_Return,-0.10148282491226421,0.18271421510912764,-0.10309269043294424,0.17583403025137737
US_GDP,Nifty_Metal_Return,0.0906549779119783,0.23418265826964163,0.14581701886443127,0.05487444128329012
US_GDP,Nifty_Realty_Return,0.025229788397016076,0.7410542179626672,0.07075042165390144,0.3535639387597041
US_GDP,Nifty_Energy_Return,0.01669794460567757,0.8268925720517845,0.04091538496779584,0.5919271497967228
US_GDP,Nifty_Infra_Return,0.06879478629365471,0.36706007979676036,0.12949096236466928,0.08857387363698871
US_GDP,Nifty_PSE_Return,0.11440097991834039,0.1328093982500378,0.12436030659611447,0.1020585972411198
US_GDP,Nifty_Media_Return,-0.10528569176563746,0.16677239242562314,-0.14852701666047743,0.05047139110918345
Brent_Crude,Nifty_50_Return,0.01463723398038979,0.8479795702328714,-0.004739314900765967,0.9505105876471027
Brent_Crude,Nifty_Bank_Return,0.03210077417732763,0.6741241368210701,-0.018224892508328823,0.8113460478210298
Brent_Crude,Nifty_IT_Return,0.015914851344670335,0.834892162803928,0.03627096443520601,0.6346766779351858
Brent_Crude,Nifty_Pharma_Return,0.04275850948660345,0.5753331823870957,0.10707480281329194,0.15964112916038073
Brent_Crude,Nifty_Auto_Return,0.05744086966744071,0.4515354329922556,0.06346536063099746,0.4054255127405724
Brent_Crude,Nifty_FMCG_Return,0.10306502901454911,0.1759506084538064,0.07070246874911015,0.35389110395248785
Brent_Crude,Nifty_Metal_Return,-0.06737315773692915,0.37706798206589925,-0.08565505851533357,0.2611018458024556
